Watching for file changes with StatReloader
"GET /admin/fitness/fitnessclass/add/ HTTP/1.1" 200 12583
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/fitnessclass/3/change/ HTTP/1.1" 200 12961
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /static/admin/css/forms.css HTTP/1.1" 304 0
"GET /static/admin/js/calendar.js HTTP/1.1" 304 0
"GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
"GET /static/admin/js/change_form.js HTTP/1.1" 304 0
"GET /static/admin/css/widgets.css HTTP/1.1" 304 0
"GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
"GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
"GET /admin/fitness/booking/ HTTP/1.1" 200 11788
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/fitnessclass/ HTTP/1.1" 200 10863
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2954
"GET /classes/ HTTP/1.1" 200 380
Bad Request: /book/
"POST /book/ HTTP/1.1" 400 130
"POST /book/ HTTP/1.1" 201 133
Bad Request: /book/
"POST /book/ HTTP/1.1" 400 49
"POST /book/ HTTP/1.1" 201 129
"GET /classes/ HTTP/1.1" 200 380
"POST /book/ HTTP/1.1" 201 128
"GET /classes/ HTTP/1.1" 200 380
"GET /bookings/?email=sankar8898@gmail.com HTTP/1.1" 200 2
"GET /bookings/?email=john@example.com HTTP/1.1" 200 264
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2954
Not Found: /favicon.ico
- Broken pipe from ('127.0.0.1', 50394)
"GET /classes/ HTTP/1.1" 200 380
"POST /book/ HTTP/1.1" 201 136
"GET /bookings/?email=Gowtham7@gmail.com HTTP/1.1" 200 2
"GET /bookings/?email=Gowtham7example@gmail.com HTTP/1.1" 200 2
"GET /bookings/?email=Gowtham7@example.com HTTP/1.1" 200 138
Watching for file changes with StatReloader
